Date,Province_State,TargetValue
2020-01-23T00:00:00.000Z,Alabama,0
2020-01-24T00:00:00.000Z,Alabama,0
2020-01-25T00:00:00.000Z,Alabama,0
2020-01-26T00:00:00.000Z,Alabama,0
2020-01-27T00:00:00.000Z,Alabama,0
2020-01-28T00:00:00.000Z,Alabama,0
2020-01-29T00:00:00.000Z,Alabama,0
2020-01-30T00:00:00.000Z,Alabama,0
2020-01-31T00:00:00.000Z,Alabama,0
2020-02-01T00:00:00.000Z,Alabama,0
2020-02-02T00:00:00.000Z,Alabama,0
2020-02-03T00:00:00.000Z,Alabama,0
2020-02-04T00:00:00.000Z,Alabama,0
2020-02-05T00:00:00.000Z,Alabama,0
2020-02-06T00:00:00.000Z,Alabama,0
2020-02-07T00:00:00.000Z,Alabama,0
2020-02-08T00:00:00.000Z,Alabama,0
2020-02-09T00:00:00.000Z,Alabama,0
2020-02-10T00:00:00.000Z,Alabama,0
2020-02-11T00:00:00.000Z,Alabama,0
2020-02-12T00:00:00.000Z,Alabama,0
2020-02-13T00:00:00.000Z,Alabama,0
2020-02-14T00:00:00.000Z,Alabama,0
2020-02-15T00:00:00.000Z,Alabama,0
2020-02-16T00:00:00.000Z,Alabama,0
2020-02-17T00:00:00.000Z,Alabama,0
2020-02-18T00:00:00.000Z,Alabama,0
2020-02-19T00:00:00.000Z,Alabama,0
2020-02-20T00:00:00.000Z,Alabama,0
2020-02-21T00:00:00.000Z,Alabama,0
2020-02-22T00:00:00.000Z,Alabama,0
2020-02-23T00:00:00.000Z,Alabama,0
2020-02-24T00:00:00.000Z,Alabama,0
2020-02-25T00:00:00.000Z,Alabama,0
2020-02-26T00:00:00.000Z,Alabama,0
2020-02-27T00:00:00.000Z,Alabama,0
2020-02-28T00:00:00.000Z,Alabama,0
2020-02-29T00:00:00.000Z,Alabama,0
2020-03-01T00:00:00.000Z,Alabama,0
2020-03-02T00:00:00.000Z,Alabama,0
2020-03-03T00:00:00.000Z,Alabama,0
2020-03-04T00:00:00.000Z,Alabama,0
2020-03-05T00:00:00.000Z,Alabama,0
2020-03-06T00:00:00.000Z,Alabama,0
2020-03-07T00:00:00.000Z,Alabama,0
2020-03-08T00:00:00.000Z,Alabama,0
2020-03-09T00:00:00.000Z,Alabama,0
2020-03-10T00:00:00.000Z,Alabama,0
2020-03-11T00:00:00.000Z,Alabama,0
2020-03-12T00:00:00.000Z,Alabama,0
2020-03-13T00:00:00.000Z,Alabama,5
2020-03-14T00:00:00.000Z,Alabama,1
2020-03-15T00:00:00.000Z,Alabama,6
2020-03-16T00:00:00.000Z,Alabama,17
2020-03-17T00:00:00.000Z,Alabama,10
2020-03-18T00:00:00.000Z,Alabama,7
2020-03-19T00:00:00.000Z,Alabama,32
2020-03-20T00:00:00.000Z,Alabama,5
2020-03-21T00:00:00.000Z,Alabama,48
2020-03-22T00:00:00.000Z,Alabama,26
2020-03-23T00:00:00.000Z,Alabama,39
2020-03-24T00:00:00.000Z,Alabama,46
2020-03-25T00:00:00.000Z,Alabama,139
2020-03-26T00:00:00.000Z,Alabama,136
2020-03-27T00:00:00.000Z,Alabama,70
2020-03-28T00:00:00.000Z,Alabama,107
2020-03-29T00:00:00.000Z,Alabama,131
2020-03-30T00:00:00.000Z,Alabama,74
2020-03-31T00:00:00.000Z,Alabama,88
2020-04-01T00:00:00.000Z,Alabama,73
2020-04-02T00:00:00.000Z,Alabama,173
2020-04-03T00:00:00.000Z,Alabama,262
2020-04-04T00:00:00.000Z,Alabama,119
2020-04-05T00:00:00.000Z,Alabama,151
2020-04-06T00:00:00.000Z,Alabama,187
2020-04-07T00:00:00.000Z,Alabama,217
2020-04-08T00:00:00.000Z,Alabama,159
2020-04-09T00:00:00.000Z,Alabama,375
2020-04-10T00:00:00.000Z,Alabama,244
2020-04-11T00:00:00.000Z,Alabama,270
2020-04-12T00:00:00.000Z,Alabama,346
2020-04-13T00:00:00.000Z,Alabama,171
2020-04-14T00:00:00.000Z,Alabama,219
2020-04-15T00:00:00.000Z,Alabama,122
2020-04-16T00:00:00.000Z,Alabama,270
2020-04-17T00:00:00.000Z,Alabama,226
2020-04-18T00:00:00.000Z,Alabama,141
2020-04-19T00:00:00.000Z,Alabama,176
2020-04-20T00:00:00.000Z,Alabama,191
2020-04-21T00:00:00.000Z,Alabama,238
2020-04-22T00:00:00.000Z,Alabama,276
2020-04-23T00:00:00.000Z,Alabama,239
2020-04-24T00:00:00.000Z,Alabama,194
2020-04-25T00:00:00.000Z,Alabama,0
2020-04-26T00:00:00.000Z,Alabama,395
2020-04-27T00:00:00.000Z,Alabama,118
2020-04-28T00:00:00.000Z,Alabama,211
2020-04-29T00:00:00.000Z,Alabama,162
2020-04-30T00:00:00.000Z,Alabama,176
2020-05-01T00:00:00.000Z,Alabama,206
2020-05-02T00:00:00.000Z,Alabama,317
2020-05-03T00:00:00.000Z,Alabama,277
2020-05-04T00:00:00.000Z,Alabama,224
2020-05-05T00:00:00.000Z,Alabama,325
2020-05-06T00:00:00.000Z,Alabama,254
2020-05-07T00:00:00.000Z,Alabama,355
2020-05-08T00:00:00.000Z,Alabama,339
2020-05-09T00:00:00.000Z,Alabama,283
2020-05-10T00:00:00.000Z,Alabama,221
2020-05-11T00:00:00.000Z,Alabama,275
2020-05-12T00:00:00.000Z,Alabama,300
2020-05-13T00:00:00.000Z,Alabama,236
2020-05-14T00:00:00.000Z,Alabama,401
2020-05-15T00:00:00.000Z,Alabama,272
2020-05-16T00:00:00.000Z,Alabama,301
2020-05-17T00:00:00.000Z,Alabama,97
2020-05-18T00:00:00.000Z,Alabama,315
2020-05-19T00:00:00.000Z,Alabama,290
2020-05-20T00:00:00.000Z,Alabama,676
2020-05-21T00:00:00.000Z,Alabama,236
2020-05-22T00:00:00.000Z,Alabama,382
2020-05-23T00:00:00.000Z,Alabama,447
2020-05-24T00:00:00.000Z,Alabama,361
2020-05-25T00:00:00.000Z,Alabama,508
2020-05-26T00:00:00.000Z,Alabama,664
2020-05-27T00:00:00.000Z,Alabama,382
2020-05-28T00:00:00.000Z,Alabama,498
2020-05-29T00:00:00.000Z,Alabama,501
2020-05-30T00:00:00.000Z,Alabama,328
2020-05-31T00:00:00.000Z,Alabama,593
2020-06-01T00:00:00.000Z,Alabama,678
2020-06-02T00:00:00.000Z,Alabama,136
2020-06-03T00:00:00.000Z,Alabama,85
2020-06-04T00:00:00.000Z,Alabama,221
2020-06-05T00:00:00.000Z,Alabama,315
2020-06-06T00:00:00.000Z,Alabama,656
2020-06-07T00:00:00.000Z,Alabama,457
2020-06-08T00:00:00.000Z,Alabama,425
2020-06-09T00:00:00.000Z,Alabama,497
2020-06-10T00:00:00.000Z,Alabama,567
2020-01-23T00:00:00.000Z,Alaska,0
2020-01-24T00:00:00.000Z,Alaska,0
2020-01-25T00:00:00.000Z,Alaska,0
