Date,canada_cases,japan_cases,italy_cases,uk_cases,germany_cases,france_cases,canada_1lag,japan_1lag,italy_1lag,uk_1lag,germany_1lag,france_1lag,canada_2lag,japan_2lag,italy_2lag,uk_2lag,germany_2lag,france_2lag,canada_3lag,japan_3lag,italy_3lag,uk_3lag,germany_3lag,france_3lag,canada_ma,japan_ma,italy_ma,uk_ma,germany_ma,france_ma,canada_pt,japan_pt,italy_pt,uk_pt,germany_pt,france_pt,dow,Canada_Outdoor_Mobility,Canada_indoorMobility,Germany_Outdoor_Mobility,Germany_indoorMobility,France_Outdoor_Mobility,France_indoorMobility,Japan_Outdoor_Mobility,Japan_indoorMobility,Italy_Outdoor_Mobility,Italy_indoorMobility,United_Kingdom_Outdoor_Mobility,United_Kingdom_indoorMobility,temp_canada,temp_uk,temp_italy,temp_japan,temp_germany,temp_france,diff_canada
2020-02-15T00:00:00.000+0000,0,14,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,2.571428571,0,0.857142857,0.428571429,0.142857143,-1.121885848,-0.83678022,-1.171677488,-1.113259531,-1.074961531,-1.037102772,7,14,0,25,-1,15,-1,18,0,33,-1,7,2,19.26220096,43.47307692,42.97115385,36.91923077,34.548,47.35,0
2020-02-16T00:00:00.000+0000,0,16,0,0,0,0,0,14,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,4.714285714,0,0.857142857,0.285714286,0.142857143,-1.121885848,-0.797486651,-1.171677488,-1.113259531,-1.074961531,-1.039040123,1,8,-2,7,0,-2,-1,2,2,21,-2,-3,1,19.70478469,43.27307692,43.60769231,36.20897436,36.21176471,47.7,1
2020-02-17T00:00:00.000+0000,1,7,0,0,0,0,0,16,0,0,0,0,0,14,0,0,0,1,0,1,0,0,0,0,0.142857143,5.714285714,0,0.142857143,0.285714286,0.142857143,-1.119494252,-0.979817961,-1.171677488,-1.113259531,-1.074961531,-1.039040123,2,-9,11,14,0,1,4,7,1,10,0,13,2,20.39375,43.20192308,44.28461538,36.44102564,34.41666667,49.9,-1
2020-02-18T00:00:00.000+0000,0,8,0,0,0,0,1,7,0,0,0,0,0,16,0,0,0,0,0,14,0,0,0,1,0.142857143,6.857142857,0,0.142857143,0,0.142857143,-1.121885848,-0.958844931,-1.171677488,-1.113259531,-1.074961531,-1.039040123,3,5,1,12,1,5,3,8,1,13,0,12,2,21.08269231,42.72307692,44.07307692,35.50649351,34.57307692,49.35,0
2020-02-19T00:00:00.000+0000,0,10,0,0,0,0,0,8,0,0,0,0,1,7,0,0,0,0,0,16,0,0,0,0,0.142857143,8,0,0,0,0.142857143,-1.121885848,-0.917445202,-1.171677488,-1.113259531,-1.074961531,-1.039040123,4,6,0,9,1,1,2,9,0,13,0,13,3,22.17511962,43.03076923,43.90576923,36.78076923,35.49555556,47.45,0
2020-02-20T00:00:00.000+0000,0,10,0,0,0,0,0,10,0,0,0,0,0,8,0,0,0,0,1,7,0,0,0,0,0.142857143,9.428571429,0,0,0,0.142857143,-1.121885848,-0.917445202,-1.171677488,-1.113259531,-1.074961531,-1.039040123,5,10,0,12,1,4,3,11,0,17,0,10,3,22.63076923,43.14615385,43.59423077,37.66666667,36.67843137,46.2,1
2020-02-21T00:00:00.000+0000,1,11,17,0,0,0,0,10,0,0,0,0,0,10,0,0,0,0,0,8,0,0,0,0,0.285714286,10.85714286,2.428571429,0,0,0.142857143,-1.119494252,-0.89701484,-1.148062347,-1.113259531,-1.074961531,-1.039040123,6,17,1,18,2,10,3,21,1,23,-1,17,3,22.80769231,43.59423077,44.23461538,36.8474359,36.29019608,49,-1
2020-02-22T00:00:00.000+0000,0,17,42,0,0,0,1,11,17,0,0,0,0,10,0,0,0,0,0,10,0,0,0,0,0.285714286,11.28571429,8.428571429,0,0,0,-1.121885848,-0.778093561,-1.11374337,-1.113259531,-1.074961531,-1.039040123,7,19,-1,23,0,16,-1,27,2,29,-1,17,1,22.65598086,43.48269231,45.00769231,39.65128205,35.70943396,50.1,0
2020-02-23T00:00:00.000+0000,0,25,93,0,0,0,0,17,42,0,0,0,1,11,17,0,0,0,0,10,0,0,0,0,0.285714286,12.57142857,21.71428571,0,0,0,-1.121885848,-0.628819355,-1.04520931,-1.113259531,-1.074961531,-1.039040123,1,3,-1,2,0,3,-1,22,0,14,0,1,0,22.25048077,43.91730769,44.44423077,39.09358974,34.09411765,51,1
2020-02-24T00:00:00.000+0000,1,12,74,4,0,0,0,25,93,0,0,0,0,17,42,0,0,0,1,11,17,0,0,0,0.285714286,13.28571429,32.28571429,0.571428571,0,0,-1.119494252,-0.876761739,-1.070513169,-1.109753292,-1.074961531,-1.039040123,2,4,0,7,4,4,3,8,14,2,4,2,1,22.05776699,42.80769231,44.50961538,37.50897436,35.39818182,45.8,0
2020-02-25T00:00:00.000+0000,1,11,93,0,1,2,1,12,74,4,0,0,0,25,93,0,0,0,0,17,42,0,0,0,0.428571429,13.71428571,45.57142857,0.571428571,0.142857143,0.285714286,-1.119494252,-0.89701484,-1.04520931,-1.113259531,-1.073008432,-1.035167061,3,4,0,6,4,2,4,5,1,-7,5,6,0,20.81682692,43.33846154,44.87884615,39.03717949,36.95882353,49.9,-1
2020-02-26T00:00:00.000+0000,0,19,131,0,10,4,1,11,93,0,1,2,1,12,74,4,0,0,0,25,93,0,0,0,0.428571429,15,64.28571429,0.571428571,1.571428571,0.857142857,-1.121885848,-0.739806366,-0.995398086,-1.113259531,-1.055501185,-1.031300552,4,0,1,3,2,0,3,3,1,-15,6,7,0,20.64449761,42.59230769,44.59423077,38.84487179,38.03846154,52.4,2
2020-02-27T00:00:00.000+0000,2,25,202,2,19,20,0,19,131,0,10,4,1,11,93,0,1,2,1,12,74,4,0,0,0.714285714,17.14285714,93.14285714,0.857142857,4.285714286,3.714285714,-1.117104498,-0.628819355,-0.905089684,-1.111505843,-1.038120324,-1.000602793,5,-2,4,6,2,0,4,0,1,-14,6,7,0,20.80956938,42.40384615,44.83076923,38.53589744,36.70425532,54.75,-1
