Date,canada_cases,japan_cases,italy_cases,uk_cases,germany_cases,france_cases
2020-02-15,0,14,0,0,0,1
2020-02-16,0,16,0,0,0,0
2020-02-17,1,7,0,0,0,0
2020-02-18,0,8,0,0,0,0
2020-02-19,0,10,0,0,0,0
2020-02-20,0,10,0,0,0,0
2020-02-21,1,11,17,0,0,0
2020-02-22,0,17,42,0,0,0
2020-02-23,0,25,93,0,0,0
2020-02-24,1,12,74,4,0,0
2020-02-25,1,11,93,0,1,2
2020-02-26,0,19,131,0,10,4
2020-02-27,2,25,202,2,19,20
2020-02-28,1,14,233,5,2,19
2020-02-29,6,13,240,3,31,43
2020-03-01,4,15,566,13,51,30
2020-03-02,3,18,342,4,29,61
2020-03-03,3,19,466,11,37,13
2020-03-04,3,38,587,34,66,81
2020-03-05,4,29,769,30,220,92
2020-03-06,12,60,778,48,188,276
2020-03-07,5,41,1247,43,129,296
2020-03-08,10,41,1492,67,241,177
2020-03-09,13,9,1797,48,136,83
2020-03-10,2,70,977,61,281,575
2020-03-11,29,58,2313,74,451,497
2020-03-12,9,0,2651,0,170,0
2020-03-13,74,62,2547,342,1597,1380
2020-03-14,5,72,3497,342,910,808
2020-03-15,54,66,3590,0,1210,30
2020-03-16,163,0,3233,403,1477,2134
2020-03-17,57,39,3526,407,1985,1019
2020-03-18,178,11,4207,676,3070,1391
2020-03-19,143,35,5322,63,2993,1828
2020-03-20,142,39,5909,1294,4528,1741
2020-03-21,334,44,5909,1035,2365,1670
2020-03-22,189,94,5560,665,2660,1736
2020-03-23,619,27,4789,967,4183,3838
2020-03-24,702,65,5249,1427,3930,2448
2020-03-25,461,114,5210,1452,4337,2929
2020-03-26,791,80,5909,2129,6365,3922
2020-03-27,640,81,5909,2885,6365,3809
2020-03-28,894,225,5909,2546,6365,4611
2020-03-29,704,173,5217,2433,4400,2599
2020-03-30,1118,0,4050,2619,4790,4376
2020-03-31,1129,87,4053,3009,4923,4959
2020-04-01,1033,225,4782,4324,6064,4861
2020-04-02,1724,317,4668,4244,6365,2116
2020-04-03,1153,122,4585,4450,6365,4959
2020-04-04,541,522,4805,3735,4933,4267
2020-04-05,2025,0,4316,5903,4031,1873
2020-04-06,807,515,3599,3802,3251,3912
2020-04-07,1309,252,3039,3634,4289,3777
2020-04-08,1269,351,3836,5491,5633,3881
2020-04-09,1513,410,4204,4344,4885,4286
2020-04-10,1405,712,3951,5903,3990,4342
2020-04-11,1257,475,4694,5233,2737,3114
2020-04-12,983,712,4092,5288,2946,4959
2020-04-13,1381,622,3153,4342,2218,3665
2020-04-14,1355,275,2972,5252,1287,4959
2020-04-15,1174,455,2667,4603,3394,3216
2020-04-16,2025,526,3786,4617,2945,4959
2020-04-17,2005,712,3493,5599,3699,1979
2020-04-18,1542,509,3491,5525,1945,17
2020-04-19,1277,501,3047,5850,1842,4902
2020-04-20,2025,0,2256,4676,1881,2380
2020-04-21,1744,338,2729,4301,1226,2733
2020-04-22,2025,377,3370,4451,2357,2206
2020-04-23,1636,712,2646,4583,2481,2311
2020-04-24,1620,461,3021,5386,1870,1610
2020-04-25,1452,402,2357,4913,1514,1656
2020-04-26,1662,210,2324,4463,1257,555
2020-04-27,1583,712,1739,4309,988,3742
2020-04-28,1534,417,2091,3996,1154,3016
2020-04-29,1715,159,2086,4076,1627,2512
2020-04-30,1592,193,1872,5903,1470,671
2020-05-01,1885,217,1965,5903,1068,0
2020-05-02,1583,266,1900,4806,890,1212
2020-05-03,2025,306,1389,4339,697,296
2020-05-04,1453,201,1221,3985,488,614
2020-05-05,1258,175,1075,4406,855,1049
2020-05-06,1479,0,1444,5903,1155,3530
2020-05-07,1507,224,1401,5614,1268,575
2020-05-08,1473,98,1327,4649,1158,1278
2020-05-09,1244,88,1083,3896,736,440
2020-05-10,1173,114,802,3923,555,269
2020-05-11,1173,70,744,3877,697,452
2020-05-12,1155,121,1402,3403,595,728
2020-05-13,1149,81,888,3242,927,226
2020-05-14,1213,71,992,3446,380,731
2020-05-15,1178,83,789,3560,755,607
2020-05-16,1247,34,875,3450,519,112
2020-05-17,1126,48,675,3534,617,33
2020-05-18,1079,20,451,2711,182,314
2020-05-19,1082,62,813,2412,1227,874
2020-05-20,1082,0,665,525,695,641
2020-05-21,1167,57,642,2615,548,237
2020-05-22,1205,89,652,3287,689,339
2020-05-23,1204,23,669,2959,276,319
2020-05-24,955,14,531,2405,342,105
2020-05-25,1013,31,300,1625,272,307
2020-05-26,971,42,397,4043,600,279
2020-05-27,899,28,584,2013,324,157
2020-05-28,987,53,593,1887,672,3265
2020-05-29,933,75,516,2095,726,507
2020-05-30,772,43,416,1604,267,1800
2020-05-31,798,35,333,1936,221,235
2020-06-01,809,36,200,1570,184,101
2020-06-02,673,50,318,1653,285,972
2020-06-03,681,30,321,1871,242,3856
2020-06-04,628,44,177,1805,351,2850
2020-06-05,678,47,518,1650,452,552
2020-06-06,528,42,270,1557,526,529
2020-06-07,703,39,197,1326,300,293
2020-06-08,601,21,280,1205,359,98
2020-06-09,462,51,283,1741,397,141
2020-06-10,479,35,202,1003,16,397
